first_name,last_name,gender,department,title,hire_date,salary
Elsinore,Tebbitt,Female,Sales,Programmer Analyst II,1470333246,73500
Herminia,Leivesley,Female,Training,Administrative Assistant IV,1257802746,179500
Darius,Dives,Male,Business Development,Senior Cost Accountant,1181446337,217500
Cristobal,Rouf,Male,Marketing,General Manager,1440668014,88000
Cullie,Foye,Male,Sales,Analyst Programmer,1486187389,65500
Daryl,Brellin,Male,Accounting,Dental Hygienist,1472162224,72500
Meade,Bracknall,Male,Research and Development,Human Resources Manager,1235696735,190500
Edan,Claus,Male,Accounting,Geological Engineer,1428540560,94000
Shem,Chestnut,Male,Services,Speech Pathologist,1469915044,73500
Ryun,Bisacre,Male,Training,Project Manager,972529088,322000
Jud,Petrushka,Male,Engineering,VP Marketing,1483680898,66500
Abagail,Scurr,Female,Accounting,Librarian,1447346808,85000
Baron,Rowter,Male,Business Development,Tax Accountant,1469608124,73500
Saloma,Langstone,Female,Human Resources,Automation Specialist I,1334789084,141000
Vernen,Pfiffer,Male,Support,Software Test Engineer III,1156481148,230000
Jessey,Hort,Male,Legal,Programmer Analyst III,1297383236,159500
Ray,Gioan,Female,Legal,Assistant Professor,1458084531,79500
Lonnie,Wylam,Male,Human Resources,Quality Control Specialist,1271601727,172500
Kacy,Parzis,Female,Accounting,Senior Quality Engineer,1375131538,121000
Carlo,Pyett,Male,Legal,Senior Financial Analyst,1504921746,56000
Shelbi,Thying,Female,Sales,Chief Design Engineer,1266217322,175500
Colette,Mealing,Female,Product Management,Programmer I,1506920396,55000
Dario,Armitt,Male,Services,Accounting Assistant III,1501899431,57500
Arda,Garmanson,Female,Marketing,Senior Quality Engineer,1310695162,153000
Deeanne,Shafe,Female,Services,Account Executive,1183692380,216500
Cart,Cockin,Male,Research and Development,Nuclear Power Engineer,1472201698,72500
Arleta,Mosedall,Female,Marketing,Chemical Engineer,1071788726,272500
Elna,Jakucewicz,Female,Human Resources,VP Accounting,1502463775,57000
Gennifer,Cordeix,Female,Support,Junior Executive,1495980452,60500
Dov,Matonin,Male,Human Resources,Physical Therapy Assistant,1210993573,203000
Denni,Bugdall,Female,Engineering,Executive Secretary,1118144626,249500
Baudoin,Anthon,Male,Product Management,Analog Circuit Design manager,1475640952,70500
Sammy,Stolze,Female,Legal,Design Engineer,998170829,309500
Theo,Longmaid,Male,Engineering,Statistician I,1459894448,78500
Jacquelyn,Marvel,Female,Marketing,Administrative Assistant I,1461833710,77500
Mireielle,Dene,Female,Research and Development,Analyst Programmer,1502045237,57500
Tobey,McSaul,Female,Product Management,Quality Control Specialist,1396893307,110000
Erhart,Kures,Male,Marketing,Senior Financial Analyst,1479962408,68500
Jordan,Mucklow,Male,Legal,Geological Engineer,1493160236,62000
Kennie,Anelay,Male,Sales,Graphic Designer,1499003854,59000
Luz,Fathers,Female,Sales,Sales Associate,1456762581,80000
Meryl,Calley,Male,Engineering,Registered Nurse,1483786579,66500
Emanuele,Avey,Male,Human Resources,Director of Sales,1076598004,270000
Ardyth,Tattoo,Female,Human Resources,Assistant Media Planner,1485298779,66000
Loni,Insko,Female,Legal,VP Marketing,1463972119,76500
Meara,Sowter,Female,Engineering,Web Developer IV,1469128615,74000
Basil,Derkes,Male,Business Development,Food Chemist,1475995708,70500
Wernher,Craigheid,Male,Marketing,Payment Adjustment Coordinator,1439362223,89000
Katherina,Batterson,Female,Research and Development,Project Manager,981083813,318000
Raye,Haffner,Female,Support,Biostatistician IV,1444247991,86500
William,Kyte,Male,Marketing,Account Executive,1498234317,59500
Torey,Sumbler,Female,Business Development,Structural Engineer,1446684508,85000
Freeman,Ferroli,Male,Research and Development,Mechanical Systems Engineer,1468035385,74500
Eddy,Elen,Male,Support,Research Associate,1509524552,53500
Florence,Grasser,Female,Business Development,Software Test Engineer III,1465248166,76000
Randolf,Tooke,Male,Research and Development,Staff Accountant III,1494564043,61000
Kalle,Hodges,Male,Research and Development,Software Consultant,1477148459,70000
Davin,Wigan,Male,Services,VP Quality Control,1142788659,237000
Krissy,Petzolt,Female,Research and Development,Recruiter,1504985890,56000
Christie,Welldrake,Male,Services,Web Developer I,1125488536,245500
Corby,Luffman,Male,Human Resources,Tax Accountant,1173557115,221500
Emmi,Laborde,Female,Marketing,Web Developer IV,1490036166,63500
Chanda,Timberlake,Female,Accounting,Internal Auditor,1440354040,88500
Micky,Van Zon,Male,Engineering,Assistant Media Planner,1463507634,76500
Henryetta,Tomkiss,Female,Research and Development,Computer Systems Analyst III,1463764873,76500
Carlyle,Stanner,Male,Support,Geologist IV,1483332352,67000
Aube,Wildman,Male,Research and Development,Help Desk Technician,1506423416,55000
Nannette,Twiddle,Female,Marketing,Programmer II,1082805771,267000
Lorianna,Hearnshaw,Female,Engineering,Executive Secretary,1028632732,294000
Portia,Mayzes,Female,Services,Financial Advisor,1373852078,121500
Adolphus,Brinkler,Male,Accounting,Legal Assistant,1505198224,56000
Nerissa,Sizeland,Female,Engineering,Paralegal,1173710427,221500
Missie,Reaney,Female,Services,Office Assistant II,1486418177,65000
Marlyn,Patesel,Female,Sales,Assistant Manager,1467709351,74500
Fielding,Munsey,Male,Services,Pharmacist,1456924439,80000
Phil,Binfield,Male,Research and Development,Web Designer III,1428633101,94000
Jedidiah,Grent,Male,Support,Senior Financial Analyst,1181718342,217500
Kiel,Cottle,Male,Training,Clinical Specialist,1507062516,55000
Kylie,Idale,Male,Support,Automation Specialist I,1476124678,70500
Arte,Garric,Male,Engineering,Data Coordiator,1470657929,73000
Domini,Jedrzejkiewicz,Female,Sales,Safety Technician I,1383216883,117000
Aylmar,Dabourne,Male,Sales,Product Engineer,1483304527,67000
Taddeusz,Kleewein,Male,Training,Product Engineer,1449152702,84000
Basilio,Delap,Male,Support,Product Engineer,1482424950,67000
Jillene,MacMichael,Female,Engineering,Analog Circuit Design manager,1187430095,214500
Temp,Bengall,Male,Services,Software Consultant,1459430372,78500
Fredrika,Whartonby,Female,Human Resources,Compensation Analyst,1389764420,113500
